[INFO ] [2022-09-15 10:23:17,985] Pre-condition - Step 01: Open browser and admin site
[INFO ] [2022-09-15 10:23:27,919] Pre-condition - Step 02: Enter to Username text box with value automationfc
[INFO ] [2022-09-15 10:23:28,192] Pre-condition - Step 03: Enter to Password text box with value automationfc
[INFO ] [2022-09-15 10:23:28,286] Pre-condition - Step 04: Click to Login button
[INFO ] [2022-09-15 10:23:31,963] Create_Post - Step 01: Click to 'Posts' menu link
[INFO ] [2022-09-15 10:23:33,835] Create_Post - Step 02: Get 'Search Posts' page Url
[INFO ] [2022-09-15 10:23:33,838] Create_Post - Step 03: Click to 'Add new' button
[INFO ] [2022-09-15 10:23:36,589] Create_Post - Step 3-2: Click to close button at popup
[INFO ] [2022-09-15 10:23:39,949] Create_Post - Step 04: Enter to post title
[INFO ] [2022-09-15 10:23:40,402] Create_Post - Step 05: Enter to post body
[INFO ] [2022-09-15 10:23:41,268] Create_Post - Step 06: Enter to post body
[INFO ] [2022-09-15 10:23:41,832] Create_Post - Step 07: Click to 'Publish' button
[INFO ] [2022-09-15 10:23:42,176] Create_Post - Step 08: Click to 'Pre-Publish' button
[INFO ] [2022-09-15 10:23:42,663] Create_Post - Step 09: Verify 'Post published.' message is displayed
[INFO ] [2022-09-15 10:23:43,688]  -------------------------- PASSED -------------------------- 
[INFO ] [2022-09-15 10:23:43,688] Search_Post - Step 01: Open 'Search Post' page
[INFO ] [2022-09-15 10:23:45,795] Search_Post - Step 01: Open 'Search Post' page
[INFO ] [2022-09-15 10:23:46,659] Search_Post - Step 02: Enter to search post textbox
[INFO ] [2022-09-15 10:23:46,803] Search_Post - Step 03: Click to 'Search Posts' button
[INFO ] [2022-09-15 10:23:48,294] Search_Post - Step 04: Verify search table contain 'Live Coding Title5324'
[INFO ] [2022-09-15 10:23:48,416]  -------------------------- PASSED -------------------------- 
[INFO ] [2022-09-15 10:23:48,416] Search_Post - Step 05: Verify search table contain 'Automation Admin'
[INFO ] [2022-09-15 10:23:48,501]  -------------------------- PASSED -------------------------- 
[INFO ] [2022-09-15 10:23:48,501] Search_Post - Step 06: Open End User Site
[INFO ] [2022-09-15 10:23:49,759] Search_Post - Step 07: Verify Post info displayed at Home page
[INFO ] [2022-09-15 10:23:49,828]  -------------------------- PASSED -------------------------- 
[INFO ] [2022-09-15 10:23:49,919]  -------------------------- PASSED -------------------------- 
[INFO ] [2022-09-15 10:23:49,984]  -------------------------- PASSED -------------------------- 
[INFO ] [2022-09-15 10:23:50,064]  -------------------------- PASSED -------------------------- 
[INFO ] [2022-09-15 10:23:50,064] Search_Post - Step 08: Click to Post tittle
[INFO ] [2022-09-15 10:23:50,819] Search_Post - Step 09: Verify Post info displayed at Post detail page
[INFO ] [2022-09-15 10:23:50,883]  -------------------------- PASSED -------------------------- 
[INFO ] [2022-09-15 10:23:50,952]  -------------------------- PASSED -------------------------- 
[INFO ] [2022-09-15 10:23:51,026]  -------------------------- PASSED -------------------------- 
[INFO ] [2022-09-15 10:23:51,093]  -------------------------- PASSED -------------------------- 
[INFO ] [2022-09-15 10:23:51,115] Edit_Post - Step 01: Open Admin site
[INFO ] [2022-09-15 10:23:52,055] Edit_Post - Step 02: Click to 'Posts' menu link
[INFO ] [2022-09-15 10:23:53,099] Edit_Post - Step 03: Enter to search post textbox
[INFO ] [2022-09-15 10:23:53,247] Edit_Post - Step 04: Click to 'Search Posts' button
[INFO ] [2022-09-15 10:23:54,618] Edit_Post - Step 05: Click to Post title link and navigate to edit post page
[INFO ] [2022-09-15 10:23:56,479] Edit_Post - Step 06: Enter to post title
[INFO ] [2022-09-15 10:23:57,032] Edit_Post - Step 07: Enter to post body
